,index,Rank,Song,Performer,SongID,spotify_genre,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Datetime,Year
476,17658,9,Caught Up,Usher,Caught UpUsher,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",63.0,0.8170000000000001,0.8059999999999999,6.0,-4.606,1.0,0.0623,0.027000000000000003,9e-06,0.11900000000000001,0.805,110.086,4.0,2005-04-02,2005
477,18757,10,Closer,Ne-Yo,CloserNe-Yo,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",59.0,0.6509999999999999,0.789,4.0,-6.9639999999999995,0.0,0.0733,0.00509,6.58e-06,0.9229999999999999,0.316,126.01799999999999,4.0,2008-08-23,2008
478,17886,10,Because Of You,Kelly Clarkson,Because Of YouKelly Clarkson,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",73.0,0.583,0.584,5.0,-5.362,0.0,0.0314,0.254,0.0,0.12300000000000001,0.136,140.039,4.0,2005-12-24,2005
479,18299,10,Say It Right,Nelly Furtado,Say It RightNelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap', 'pop rock']",57.0,0.871,0.873,1.0,-6.234,1.0,0.13,0.0488,0.0007469999999999999,0.0532,0.813,116.945,4.0,2007-03-17,2007
480,18293,10,Break It Off,Rihanna & Sean Paul,Break It OffRihanna & Sean Paul,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",50.0,0.897,0.738,10.0,-5.314,0.0,0.228,0.0166,0.0,0.0573,0.7979999999999999,133.966,4.0,2007-03-10,2007
481,18810,10,Gotta Be Somebody,Nickelback,Gotta Be SomebodyNickelback,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",64.0,0.536,0.89,0.0,-5.222,1.0,0.0601,0.000354,0.00165,0.133,0.205,115.99799999999999,4.0,2008-10-18,2008
482,17600,10,Over And Over,Nelly Featuring Tim McGraw,Over And OverNelly Featuring Tim McGraw,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",61.0,0.69,0.509,11.0,-10.116,0.0,0.0779,0.008029999999999999,2.1e-06,0.245,0.42200000000000004,84.885,4.0,2005-02-05,2005
483,19100,10,He Could Be The One,Hannah Montana,He Could Be The OneHannah Montana,"['dance pop', 'pop', 'post-teen pop', 'social media pop']",67.0,0.602,0.894,4.0,-3.975,1.0,0.032,0.0015400000000000001,0.0,0.433,0.643,125.988,4.0,2009-07-25,2009
484,18766,10,Change,Taylor Swift,ChangeTaylor Swift,"['pop', 'post-teen pop']",48.0,0.541,0.77,5.0,-4.17,1.0,0.0354,0.004079999999999999,0.0,0.11699999999999999,0.215,96.01299999999999,4.0,2008-08-30,2008
485,19223,10,Jump Then Fall,Taylor Swift,Jump Then FallTaylor Swift,"['pop', 'post-teen pop']",48.0,0.618,0.674,2.0,-5.675,1.0,0.0276,0.115,0.0,0.0832,0.8,79.985,4.0,2009-11-14,2009
486,16697,11,Only Time,Enya,Only TimeEnya,"['celtic', 'middle earth']",71.0,0.418,0.249,3.0,-13.744000000000002,1.0,0.0301,0.841,0.6609999999999999,0.11199999999999999,0.213,82.803,4.0,2001-11-03,2001
487,19047,11,No Boundaries,Kris Allen,No BoundariesKris Allen,"['acoustic pop', 'idol', 'indiecoustica', 'neo mellow', 'pop rock']",30.0,0.449,0.789,3.0,-3.114,1.0,0.0351,0.0035700000000000003,0.0,0.0816,0.251,141.922,4.0,2009-06-06,2009
488,19101,11,Obsessed,Mariah Carey,ObsessedMariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']",70.0,0.742,0.47100000000000003,1.0,-5.513,1.0,0.0695,0.0517,0.0,0.862,0.384,86.46700000000001,4.0,2009-07-25,2009
